subject,emailText,documentText,label
"Weekly Operations Update","Attached standard training content for assigned team members.","Training guide for onboarding and compliance awareness.",0
"Project Status Memo","This message contains non-sensitive operational planning details.","Operations status report with approved non-sensitive sections.",0
"Approved Internal Review","Sharing approved internal notes for the department review meeting.","Internal policy summary and public communication checklist.",0
"Training Program Reminder","Please find routine project updates for internal coordination only.","Engineering sprint notes without confidential customer information.",0
"Engineering Sync Summary","Attached standard training content for assigned team members.","Training guide for onboarding and compliance awareness.",0
"Weekly Operations Update","This message contains non-sensitive operational planning details.","Operations status report with approved non-sensitive sections.",0
"Project Status Memo","Sharing approved internal notes for the department review meeting.","Internal policy summary and public communication checklist.",0
"Approved Internal Review","Please find routine project updates for internal coordination only.","Engineering sprint notes without confidential customer information.",0
"Training Program Reminder","Attached standard training content for assigned team members.","Training guide for onboarding and compliance awareness.",0
"Engineering Sync Summary","This message contains non-sensitive operational planning details.","Operations status report with approved non-sensitive sections.",0
"Weekly Operations Update","Sharing approved internal notes for the department review meeting.","Internal policy summary and public communication checklist.",0
"Project Status Memo","Please find routine project updates for internal coordination only.","Engineering sprint notes without confidential customer information.",0
"Approved Internal Review","Attached standard training content for assigned team members.","Training guide for onboarding and compliance awareness.",0
"Training Program Reminder","This message contains non-sensitive operational planning details.","Operations status report with approved non-sensitive sections.",0
"Engineering Sync Summary","Sharing approved internal notes for the department review meeting.","Internal policy summary and public communication checklist.",0
"Weekly Operations Update","Please find routine project updates for internal coordination only.","Engineering sprint notes without confidential customer information.",0
"Project Status Memo","Attached standard training content for assigned team members.","Training guide for onboarding and compliance awareness.",0
"Approved Internal Review","This message contains non-sensitive operational planning details.","Operations status report with approved non-sensitive sections.",0
"Training Program Reminder","Sharing approved internal notes for the department review meeting.","Internal policy summary and public communication checklist.",0
"Engineering Sync Summary","Please find routine project updates for internal coordination only.","Engineering sprint notes without confidential customer information.",0
"Weekly Operations Update","Attached standard training content for assigned team members.","Training guide for onboarding and compliance awareness.",0
"Project Status Memo","This message contains non-sensitive operational planning details.","Operations status report with approved non-sensitive sections.",0
"Approved Internal Review","Sharing approved internal notes for the department review meeting.","Internal policy summary and public communication checklist.",0
"Training Program Reminder","Please find routine project updates for internal coordination only.","Engineering sprint notes without confidential customer information.",0
"Engineering Sync Summary","Attached standard training content for assigned team members.","Training guide for onboarding and compliance awareness.",0
"Weekly Operations Update","This message contains non-sensitive operational planning details.","Operations status report with approved non-sensitive sections.",0
"Project Status Memo","Sharing approved internal notes for the department review meeting.","Internal policy summary and public communication checklist.",0
"Approved Internal Review","Please find routine project updates for internal coordination only.","Engineering sprint notes without confidential customer information.",0
"Training Program Reminder","Attached standard training content for assigned team members.","Training guide for onboarding and compliance awareness.",0
"Engineering Sync Summary","This message contains non-sensitive operational planning details.","Operations status report with approved non-sensitive sections.",0
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
"Urgent data transfer request","Forward confidential payroll data to personal email without approval.","Top secret budget and payroll records including employee salaries and private data.",1
"Confidential export action","Send source code package outside company network using unencrypted transfer.","Restricted architecture source code and production access keys for external delivery.",1
"External file share required","Share customer pii and database credentials with unauthorized recipient.","Customer pii export list with confidential account identifiers and credentials.",1
"Private records movement","Transfer top secret roadmap to private cloud drive and bypass policy checks.","Financial forecast secrets marked confidential internal only content.",1
